i charge it at night and skip taking the cord with me because of the good battery life .|||O O O O O O O O O B-AP O O O O O O B-AP I-AP O
the 13 macbook pro just fits in my budget and with free shipping and no tax to ca this is the best price we can get for a great product .|||O O O O O O O O B-AP O O O B-AP O O O O O O O O O B-AP O O O O O O O O
i would rate this computer at 5 stars , but considering it has a short life span i can only give it 1 and implore anyone looking at laptops to stay away from this machine .|||O O O O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O O O O O O
i also love the design , the looks , the feel , and the my toshiba feature is wonderfull .|||O O O O B-AP O O B-AP O O B-AP O O O B-AP I-AP I-AP O O O
the layout of the macbook is horrible and confusing ;|||O B-AP O O O O O O O O
was not happy with one of the programs on it .|||O O O O B-AP I-AP I-AP I-AP O O O
also it is very good for college students who just need a reliable , easy to use computer .|||O O O O O O O O O O O O O O O O B-AP O O
the first one sent , touchpad did n't work the second sent , usb did n't work the third sent , touchpad did n't work the fourth sent , has n't arrived yet .|||O O O O O B-AP O O O O O O O B-AP O O O O O O O B-AP O O O O O O O O O O O O
only other thing is that if you are using this for document creation apple doesnt provide any kind of word processor such as works for windows , but iwork is cheap compared to office .|||O O O O O O O O O O O B-AP I-AP O O O O O O B-AP I-AP O O O O B-AP O O B-AP O O O O B-AP O
it is light and the battery last a very long time .|||O O O O O B-AP O O O O O O
and at one point , they blame me for installing a bad memory stick when i upgrade my memory for the first time during my purchase of the laptop i bought the memory stick they recomended .|||O O O O O O O O O O O O B-AP O O O O O B-AP O O O O O O O O O O O O O B-AP O O O O
externally the keys on my keyboard are falling off , after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit , and the screen has a terrible glare .|||O O B-AP O O B-AP O O O O O O O O O B-AP O O O O B-AP I-AP I-AP I-AP I-AP O O O O O O O O O O O B-AP O O O O O
the next time i had an issue my lightscribe would n't work .|||O O O O O O O O B-AP O O O O
the touchpad is extremely sensitive , which is the only drawback .|||O B-AP O O O O O O O O O O
also it comes with very useful applications like iphoto that it is the best photo application i have ever had|||O O O O O O B-AP O B-AP O O O O O B-AP I-AP O O O O
they don t translate from a mac , even on word , resulting in a ton of run-on sentences .|||O O O O O O O O O O B-AP O O O O O O O O O
the acer one computer that i bought is 17 ince screen and its hard to find lap top bags for it , but i like the big screen on it .|||O O O O O O O O B-AP I-AP I-AP O O O O O O O O O O O O O O O O B-AP O O O
summary , they played games with me for the warranty period .|||O O O O O O O O O B-AP I-AP O
in november my computer messed up entirely and would n't power on after intalling a windows update , i had to have my hd flashed and lost everything on it , including my school assignments and irriplaceable pictures that were only in digital format and several other things , when this update was installed for some reason i was unable to roll back the drivers and everything to an earlier working condition because when the update was installed it deleted my history .|||O O O O O O O O O O O O O O O B-AP I-AP O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O
i can have both osx and windows xp running at the same time !|||O O O O B-AP O B-AP I-AP O O O O O O
overall , poor , features , average , performance , poor , battery life , excellent , price , poor|||O O O O B-AP O O O B-AP O O O B-AP I-AP O O O B-AP O O
microsoft seems to be unable to keep up with repairs for the multitude of windows problems .|||O O O O O O O O O O O O O O B-AP O O
the graphics are stunning .|||O B-AP O O O
i found a 2gb stick for a bit under $ 50 nice and portable and definitely a decent enough system to keep you entertained while sitting in the airplane for a couple of hours , or at the hotel taking care of some last minute details and documents .|||O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
after much effort and 10 days asus replaced itthe wifi is very weak .|||O O O O O O O O O B-AP O O O O
you can call hp and they want you to buy more software to fix it .|||O O O O O O O O O O O B-AP O O O O
it is easy to navigate and update programs .|||O O O O B-AP O B-AP I-AP O
applications respond immediately not like the tired ms applications .|||B-AP O O O O O O B-AP I-AP O
all in all , a very disappointing experience except that i learned how good the geek squad is and also customer service .|||O O O O O O O O O O O O O O O O O O O O B-AP I-AP O
the only drawback for me is how dirty the screen gets , and rather quickly too .|||O O O O O O O O O B-AP O O O O O O O
the laptop is very lightaspect1 , can easily carry around in a knapsack full of text books and it barely adds any weight .|||O O O O O O O O B-AP O O O O O O O O O O O O O B-AP O
seems to slow down occassionally but can run many applications ie internet tabs , programs , etc simultaneously .|||O O O O O O O O O B-AP O B-AP I-AP O B-AP O O O O
i also did not like the loud noises it made or how the bottom of the computer would get really hot .|||O O O O O O O B-AP O O O O O B-AP I-AP I-AP I-AP O O O O O
i had in the past a dell laptop and they sent me the items it needed or they sent a repair technician to my house to fix it .|||O O O O O O O O O O O O O O O O O O O O B-AP I-AP O O O O O O O
defective software .|||O B-AP O
this computer was so challenging to carry and handle .|||O O O O O O B-AP O B-AP O
cords coming out the right for power plus cords coming out front for headphones plus network connection on left make for a very messy setup with cords going every direction .|||B-AP O O O O O B-AP O B-AP O O O O B-AP O B-AP I-AP O O O O O O O B-AP O B-AP O O O O
unless you want to be inconvenienced with a non working power supply which you ca n't find a replacement for because they made the attachment so small .|||O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O O O
it is much faster than my desktop which is a core2 quad running at 283 ghz .|||O O O O O O O O O O B-AP I-AP O O O O O
it is good to know that i can mobilize without having to worry about the battery life .|||O O O O O O O O O O O O O O O B-AP I-AP O
the screen is nice , side view angles are pretty good .|||O B-AP O O O O O O O O O O
the fact that the screen reacts to the lighting around you is an added luxury-when you are working around others in dark areas and want privacy or do n't want to bother them with bright lighting , it is very convenient to have a darker , softer lit screen .|||O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O
3 weeks went by and the computer keeps crashing and will not open any applications .|||O O O O O O O O O O O O O O B-AP O
not to mention sometimes the whole charger unit will decide not to work entirely .|||O O O O O O B-AP I-AP O O O O O O O
looks nice , but has a horribly cheap feel .|||B-AP O O O O O O O B-AP O
i have other computers that get strong signals that do n't drop in places that this netbook loses its signal .|||O O O O O O O B-AP O O O O O O O O O O O B-AP O
the feel of this is better than the toshiba , too .|||O B-AP O O O O O O O O O O
i would recommend this laptop to anyone looking to get a new laptop who is willing to spend a little more money to get great quality !|||O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O
i upgraded the memory and replaced the base windows 7 starter to win 7 home , and it runs just fine .|||O O O B-AP O O O O B-AP I-AP I-AP O B-AP I-AP I-AP O O O B-AP O O O
i am not sure if it was the drive itself , however ;|||O O O O O O O O B-AP O O O O
also , one of the users mentioned how the edges on the macbook is sharp , if you have money to spend on one of the incase shells , it does n't seem to be a problem .|||O O O O O O O O O B-AP O O O O O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O
it is easy to use , its keyboard easily accommodates large hands , and its weight is fantasic .|||O O O O B-AP O O B-AP O O O O O O O B-AP O O O
called acer many times , they want me to pay the shipping to ship it to their repair center , i was very disappointed since it is a brand new computer !|||O O O O O O O O O O O B-AP O O O O O B-AP I-AP O O O O O O O O O O O O O
i should have checked this before i installed my applications .|||O O O O O O O O O B-AP O
the battery is really long .|||O B-AP O O O O
anyway , in early july of this year , the dvd burner stopped working , and the computer stared having issues with power supply .|||O O O O O O O O O O B-AP I-AP O O O O O O O O O O B-AP I-AP O
had some trouble finding a case that it would fit in .|||O O O O O B-AP O O O O O O
this computer that i have has had issues with the keyboard where it lost half the keyboard functions .|||O O O O O O O O O O B-AP O O O O O B-AP O O
comes with imovie ;|||O O B-AP O
computer has been at service facility more than in my hands .|||O O O O B-AP I-AP O O O O O O
when i called sony the customer service was great .|||O O O O O B-AP I-AP O O O
even though i had the receipt in front of me proving it still had 2 months left on the warranty .|||O O O O O O O O O O O O O O O O O O O B-AP O
it is a much more streamlined system for adding programs , using the internet , and doing other things everyone does on a computer .|||O O O O O O B-AP O O B-AP O B-AP I-AP I-AP O O O O O O O O O O O
my computer froze on several occasion , had buttons that randomely would fall off and even had moments when the computer would refuse to turn on at all .|||O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O
not even safe mode boots .|||O O B-AP I-AP O O
this is an over-sized , 18-inch laptop .|||O O O O O B-AP O O
i had to pay $ 100 for a universal charger for this cheap $ 300 laptop .|||O O O O O O O O B-AP I-AP O O O O O O O
the powerpoint opened seamlessly in the apple and the mac hooked up to the projector so easily it was almost scary .|||O B-AP O O O O O O O O O O O O O O O O O O O O
1you can not change your desktop background window's 7 starter does not support that function .|||O O O O O B-AP I-AP I-AP I-AP I-AP O O O O B-AP O
